num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2021S008683;19/05/2021;13:25:00;PASEO. ESPERANZA / CALL. CARVAJALES;41;2;ARGANZUELA;Caída;Despejado;Motocicleta > 125cc;Conductor;De 65 a 69 años;Hombre;14;Sin asistencia sanitaria;"440333,34";"4472301,773";N;NULL
2021S008685;19/05/2021;12:42:00;"CALL. JOAQUIN COSTA, 26";26;5;CHAMARTÍN;Colisión lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;"442004,386";"4477203,235";N;NULL
2021S008685;19/05/2021;12:42:00;"CALL. JOAQUIN COSTA, 26";26;5;CHAMARTÍN;Colisión lateral;Despejado;Motocicleta hasta 125cc;Pasajero;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;"442004,386";"4477203,235";N;NULL
2021S008685;19/05/2021;12:42:00;"CALL. JOAQUIN COSTA, 26";26;5;CHAMARTÍN;Colisión lateral;Despejado;Turismo;Conductor;De 50 a 54 años;Mujer;14;Sin asistencia sanitaria;"442004,386";"4477203,235";N;NULL
2021S008686;19/05/2021;12:00:00;"CALL. SEPULVEDA, 3";3;10;LATINA;Alcance;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;"438421,869";"4473279,02";N;NULL
2021S008686;19/05/2021;12:00:00;"CALL. SEPULVEDA, 3";3;10;LATINA;Alcance;Despejado;Turismo;Conductor;Más de 74 años;Mujer;NULL;NULL;"438421,869";"4473279,02";N;NULL
2021S008687;20/05/2021;9:33:00;CALL. SUECIA / PASEO. GINEBRA;44;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 21 a 24 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;"448766,225";"4475054,377";N;NULL
2021S008687;20/05/2021;9:33:00;CALL. SUECIA / PASEO. GINEBRA;44;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;"448766,225";"4475054,377";N;NULL
2021S008687;20/05/2021;9:33:00;CALL. SUECIA / PASEO. GINEBRA;44;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;Menor de 5 años;Mujer;14;Sin asistencia sanitaria;"448766,225";"4475054,377";N;NULL
2021S008688;20/05/2021;8:40:00;"AVDA. OPORTO, 17";17;11;CARABANCHEL;Caída;Despejado;Motocicleta hasta 125cc;Conductor;De 50 a 54 años;Mujer;1;Atención en urgencias sin posterior ingreso;"438668,576";"4470768,956";N;NULL
2021S008689;19/05/2021;9:45:00;PLAZA. LEGAZPI / PASEO. DELICIAS;1;2;ARGANZUELA;Colisión fronto-lateral;Despejado;Tractocamión;Conductor;De 50 a 54 años;Hombre;14;Sin asistencia sanitaria;"441024,679";"4471423,508";N;NULL
